Name,Age,Salary,Department
Jack,51.0,101338.0,Finance
Jack,38.0,80077.91838332731,IT
Jack,24.0,80077.91838332731,Unknown
Frank,47.0,101102.0,Operations
Frank,38.0,49540.0,Operations
Grace,41.00005977048135,80077.91838332731,Finance
Frank,41.00005977048135,93473.0,Engineering
Eve,41.00005977048135,80077.91838332731,Finance
Alice,41.00005977048135,80077.91838332731,HR
Bob,50.0,80077.91838332731,Sales
Hannah,41.00005977048135,77309.0,Support
Jack,41.00005977048135,80077.91838332731,HR
Isaac,52.0,54305.0,Unknown
Hannah,41.00005977048135,71490.0,Sales
Isaac,41.0,80077.91838332731,HR
David,60.0,80077.91838332731,Operations
David,52.0,73785.0,HR
Charlie,41.00005977048135,80077.91838332731,IT
Charlie,23.0,80077.91838332731,Unknown
David,41.00005977048135,115885.0,Finance
Charlie,41.00005977048135,61007.0,Finance
David,38.0,115044.0,Unknown
Frank,31.0,98439.0,HR
Jack,41.00005977048135,80077.91838332731,HR
Grace,41.00005977048135,80077.91838332731,Support
Isaac,41.00005977048135,108536.0,IT
Grace,49.0,97979.0,Operations
Charlie,41.00005977048135,80077.91838332731,Operations
Bob,41.00005977048135,114937.0,Operations
Eve,37.0,96693.0,IT
Isaac,28.0,80077.91838332731,Sales
Eve,28.0,80077.91838332731,HR
Jack,41.00005977048135,80077.91838332731,Marketing
Isaac,53.0,80077.91838332731,IT
Alice,27.0,80077.91838332731,Operations
Bob,41.00005977048135,80077.91838332731,Engineering
Frank,59.0,80077.91838332731,Finance
Hannah,26.0,66305.0,HR
Hannah,24.0,67250.0,Engineering
Eve,56.0,80077.91838332731,HR
Charlie,41.00005977048135,116168.0,Operations
Frank,41.00005977048135,71940.0,IT
Grace,41.00005977048135,80077.91838332731,Unknown
Frank,29.0,80077.91838332731,IT
Hannah,52.0,111456.0,Engineering
Frank,58.0,113102.0,Engineering
Frank,41.00005977048135,66924.0,HR
Jack,41.00005977048135,68960.0,IT
Hannah,41.00005977048135,80077.91838332731,Marketing
Frank,41.00005977048135,114988.0,Marketing
Grace,53.0,80077.91838332731,HR
Charlie,41.0,80077.91838332731,IT
David,41.00005977048135,110404.0,Unknown
David,41.00005977048135,72129.0,Marketing
Isaac,41.00005977048135,88469.0,IT
Alice,41.00005977048135,80077.91838332731,Engineering
Frank,41.00005977048135,80077.91838332731,Unknown
Bob,47.0,80077.91838332731,IT
Isaac,56.0,104990.0,Finance
Alice,59.0,80077.91838332731,Unknown
Hannah,41.00005977048135,116973.0,Sales
Bob,48.0,104424.0,Finance
Grace,41.00005977048135,118008.0,IT
Charlie,41.00005977048135,79216.0,IT
Grace,41.00005977048135,80077.91838332731,IT
Bob,53.0,43391.0,Marketing
Jack,41.00005977048135,80077.91838332731,HR
Alice,41.00005977048135,49376.0,Marketing
Grace,41.00005977048135,112674.0,HR
David,41.00005977048135,80077.91838332731,HR
Jack,41.00005977048135,80077.91838332731,Unknown
Grace,60.0,47201.0,Finance
Hannah,41.00005977048135,63590.0,Operations
Frank,41.00005977048135,80077.91838332731,Finance
David,41.00005977048135,102127.0,IT
Eve,41.00005977048135,83630.0,Unknown
Isaac,57.0,80077.91838332731,Support
Grace,41.00005977048135,80077.91838332731,Marketing
Eve,41.00005977048135,63401.0,Operations
Charlie,40.0,80077.91838332731,HR
Bob,41.00005977048135,53238.0,Sales
Alice,58.0,60579.0,Support
Charlie,41.00005977048135,80077.91838332731,Engineering
Eve,41.00005977048135,80077.91838332731,Finance
Bob,41.00005977048135,80077.91838332731,Engineering
Frank,41.00005977048135,46187.0,HR
Grace,41.00005977048135,100992.0,Finance
Isaac,41.00005977048135,80077.91838332731,Finance
Frank,43.0,80077.91838332731,IT
Grace,41.00005977048135,102851.0,HR
Isaac,30.0,78333.0,Unknown
Bob,41.00005977048135,80077.91838332731,Finance
Frank,29.0,110205.0,Finance
Jack,22.0,100696.0,HR
Isaac,59.0,104563.0,Marketing
Bob,41.00005977048135,48265.0,HR
Charlie,41.00005977048135,82351.0,Engineering
Isaac,41.00005977048135,110589.0,Operations
Isaac,41.00005977048135,61953.0,Sales
Alice,28.0,80077.91838332731,Finance
Bob,57.0,80077.91838332731,IT
Eve,41.00005977048135,80077.91838332731,Finance
Bob,41.00005977048135,80077.91838332731,Operations
Charlie,50.0,102942.0,Engineering
David,41.00005977048135,80077.91838332731,Unknown
Bob,41.00005977048135,80077.91838332731,Marketing
Alice,41.00005977048135,80077.91838332731,Sales
Charlie,41.00005977048135,48976.0,Marketing
Frank,41.00005977048135,75040.0,Support
Eve,41.00005977048135,94686.0,HR
Eve,30.0,80077.91838332731,Sales
Hannah,34.0,98346.0,Operations
Eve,41.00005977048135,52889.0,Finance
David,41.00005977048135,71348.0,Sales
David,41.00005977048135,80077.91838332731,Support
Charlie,44.0,114871.0,Unknown
Charlie,41.00005977048135,85433.0,Finance
Grace,25.0,68243.0,Sales
Charlie,41.00005977048135,80077.91838332731,Operations
Grace,41.00005977048135,80516.0,Marketing
Hannah,50.0,64667.0,IT
Hannah,35.0,93258.0,Support
Bob,41.00005977048135,80077.91838332731,Finance
Bob,41.00005977048135,118645.0,IT
Bob,41.00005977048135,80077.91838332731,Unknown
Jack,33.0,80077.91838332731,Operations
Isaac,41.00005977048135,80077.91838332731,Engineering
Bob,41.00005977048135,80077.91838332731,HR
Charlie,24.0,84938.0,Operations
Eve,41.00005977048135,110749.0,Sales
Grace,25.0,76210.0,IT
Jack,54.0,80077.91838332731,Operations
Charlie,37.0,80077.91838332731,Unknown
Charlie,41.00005977048135,118135.0,HR
Jack,49.0,80077.91838332731,Engineering
Frank,41.00005977048135,94721.0,Operations
Charlie,41.00005977048135,80077.91838332731,Sales
Alice,41.00005977048135,80077.91838332731,Marketing
Jack,41.00005977048135,80077.91838332731,Finance
Bob,41.00005977048135,80077.91838332731,Unknown
Frank,41.00005977048135,66388.0,Engineering
Hannah,54.0,80077.91838332731,IT
Isaac,55.0,56790.0,HR
Grace,41.00005977048135,80077.91838332731,Support
Charlie,41.00005977048135,115239.0,Unknown
Bob,41.00005977048135,109611.0,Marketing
Grace,54.0,80077.91838332731,Unknown
Charlie,54.0,115294.0,Unknown
Alice,49.0,80077.91838332731,Marketing
David,58.0,80077.91838332731,Finance
Alice,41.00005977048135,80077.91838332731,Operations
Grace,41.00005977048135,80077.91838332731,IT
Bob,41.00005977048135,80077.91838332731,Finance
David,25.0,80077.91838332731,Support
Frank,60.0,80077.91838332731,Marketing
Grace,26.0,101023.0,Operations
Jack,42.0,44413.0,HR
Alice,41.00005977048135,80077.91838332731,HR
Jack,41.00005977048135,80077.91838332731,Support
Hannah,41.00005977048135,79808.0,Finance
